#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2023-01-18 10:44:25
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2023-01-18 19:05:12 94.73.170.75 GET /js/jquery.superslides.min.js - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 8152 359 19
2023-01-18 19:05:12 94.73.170.75 GET /css/slick.css - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 4382 359 4793
2023-01-18 19:05:12 94.73.170.75 GET /js/custom.js - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 6586 343 68
2023-01-18 19:05:12 94.73.170.75 GET /css/jquery.tosrus.all.css - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 18425 371 5006
2023-01-18 19:05:16 94.73.170.75 GET /logo.png - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 10681 400 5001
2023-01-18 19:05:16 94.73.170.75 GET /img/bootom-top-arrow.png - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/style.css www.krsstand.com.tr 200 0 0 651 425 1
2023-01-18 19:05:16 94.73.170.75 GET /img/news.jpg - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 23913 404 84
2023-01-18 19:05:16 94.73.170.75 GET /img/skills_bg.jpg - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/style.css www.krsstand.com.tr 200 0 0 142175 418 84
2023-01-18 19:05:16 94.73.170.75 GET /ahsapstand.JPG - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 215443 406 70
2023-01-18 19:05:16 94.73.170.75 GET /js/jquery.animate-enhanced.min.js - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 7870 364 4850
2023-01-18 19:05:16 94.73.170.75 GET /ahsapstanduretimi.JPG - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 146359 413 38
2023-01-18 19:05:17 94.73.170.75 GET /ramazanstandlari.JPG - 80 - 88.242.83.124 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36 http://www.krsstand.com.tr/ www.krsstand.com.tr 200 0 0 233768 412 59
